Symbol,Mint,Entry Time (IST),Close Time (IST),Hold Time,Entry Price ($),Exit Price ($),Size (SOL),Realized PNL (SOL),PNL %,TP1 Hit,TP2 Hit,Close Reason,TX Signature
"MILLIONS","GhgKfbpijHPLau49GnJaMe2CetR5STqnr7MfVNNopump","10 Jun, 03:55 pm","10 Jun, 03:58 pm","3m","0.00002419","0.00003289","0.1","0.035965","35.97","No","No","Staged SL: -27% from peak (2-10m)","39YidafV3YqmYLbwRwzQQwckWNGNU4nCBpZjpwySbfLp1E8u3X5XKAkN7kPtB9fgTXqrRzzJCNJgdCT2Sk3Db54v"
"Brötchen","9ZtbETDNjnST9Y2zs82FZYy49xUMPgqXRh46YjjRpump","10 Jun, 03:52 pm","10 Jun, 04:01 pm","9m","0.00005692","0.00004462","0.1","-0.021609","-21.61","No","No","Staged SL: -28% from peak (2-10m)","5STJUbmfokgMx14FfoEUyZX7TpYZoZj5qQZsAaShhyP7XwtnJtvAj7Z1rwbiE9bLmrEWuv47eok8SuHWARr4w91g"
"Jotchua","GjqNcBeRP1mWHzyZHTUV4RZjmegq9GimpqdYEuS4pump","10 Jun, 03:46 pm","10 Jun, 05:47 pm","2h 0m","0.00002605","0.00002605","0.1","0.000000","0.00","No","No","Dead — No Momentum","35YLAwmL7zjP9TiJnfosHbfzh9gtkinpfeUdRFm7XJxhjAVo6A7cUBjCPnjgLs1vbMBs9CtNWrVbtQKS4VGMnKZU"
"Ansem","5p4akERzyhwqgVSdHTTLpN61zRbQZsZmnwxX5JRFpump","10 Jun, 03:43 pm","10 Jun, 03:47 pm","4m","0.00002217","0.00001668","0.1","-0.024763","-24.76","No","No","Staged SL: -28% from peak (2-10m)","5BDqdBTnyJ7T5wkiY6QAEQTbn9pTwgFwMYxqaQvHPHo66pnfBPMmQ2MTEBDuK522Tt9tqbJ92VN5WGpiAv7cawaT"
"IAGIHBA","4Wsi7rzbtjaycNTJgs5rnGoqmHchdsdUFqMiMSh8pump","10 Jun, 03:37 pm","10 Jun, 03:39 pm","1m","0.0000228","0.00001398","0.1","-0.038684","-38.68","No","No","Staged SL: -39% in first 2m","2voKMsZjRnB62bLPfLAcHvsVyG77g82b4YiN46crDDi4kqd6KumbCY6WdXoUnafRSnLFW2cEN1PXD9mtJcBgMjcW"
"PUMPANTI","KaCErfqzdZJ62w35WkrfHefnwYhNRNEVdLps5Gspump","10 Jun, 03:37 pm","10 Jun, 03:37 pm","5s","0.00001611","0.000001199","0.1","-0.092557","-92.56","No","No","Staged SL: -93% in first 2m","4X2kckMyGZbA54Zws7vERxPFPfRiJpVWH4xfKAke3uXWb7SwvRX5Zy9TM7u6XQoSHQEhPm5Y7sbPgn5rY57kf4tp"
"STORE","A6nmEt8wKu43msNGhpWBjAjXcxEkT842S9LvtWa4pump","10 Jun, 03:04 pm","10 Jun, 03:07 pm","2m","0.00002158","0.000008172","0.1","-0.062132","-62.13","No","No","Staged SL: -69% from peak (2-10m)","6dGghtMFKA96Uz4SoWVGnkPaD1XaMKFEfo8zTkNFH5UeQU23AV64CFp5AHX2sQ2Psb9hacHjsf4veo9qBMExMkN"
"STORE","14XEn3jXunfGXL6S97VVyqDMEzvjwVQUzCqts4Repump","10 Jun, 03:02 pm","10 Jun, 03:05 pm","2m","0.0000303","0.00003432","0.1","0.013267","13.27","No","No","Staged SL: -35% from peak (2-10m)","57gQzKgHr9NhVuDegAU5dTE4QGQjakyC3bxhm3WwBm8dzuBMK7EiVN9MUGpoEum3Zd6K5cCz8SAwWtJ68DEUQFhW"
"Wallace","97bMMJD7ev3eZzyBgHLpacpNSDWH9Vrke6gBE6p6pump","10 Jun, 02:55 pm","10 Jun, 03:08 pm","12m","0.00002425","0.00001934","0.1","-0.020247","-20.25","No","No","Staged SL: -34% from peak (>10m)","5X2W6oPBJTdxn6SVfLVU75rXJYt2bqDEURvhnc3ceQ2sv2rUvLo8Do1m2EtmRtZ1nH8vpK95AiRPPTbcHcuNZ4zX"
"WORTHLESS","HZZCEMtpeyYHNUCAiJRL1iSzu5w4ja1ACBKcDiFGpump","10 Jun, 02:46 pm","10 Jun, 02:50 pm","4m","0.00002488","0.00001959","0.1","-0.021262","-21.26","No","No","Staged SL: -26% from peak (2-10m)","2kL4sCbbYVZE16aAGEZy8F7FQ63KHs9kFCjtLyTj6C8J2nAPcEv3iRVortqskcLvAESJ8juFtxezwQKmPdFpDsVR"
"SOLFC","ET8kG3dbefg7uwqY4d4GGhkwvNmBdvBqf5UcvVERpump","10 Jun, 02:46 pm","10 Jun, 02:49 pm","2m","0.00002721","0.0000284","0.1","0.004373","4.37","No","No","Staged SL: -27% from peak (2-10m)","kQLvC4Je7EW6bGfTfXUnuauWZmDmVAeKY1Euj7vnSwVnMt1RiJqvMKkQUV5CxLUMknLnr8EWWxWhyqcmkHnzuFG"
"GOL","H5PZ4eF21iQo9QxPwyHbMsCY4u25gcmUNUjHp9ivpump","10 Jun, 02:13 pm","10 Jun, 02:47 pm","34m","0.00003025","0.00002353","0.1","-0.022215","-22.21","No","No","Staged SL: -38% from peak (>10m)","2k83msvUFYt4YSKnLjZcKRn5u2UerRKVpvrGy9waQvbtRk4T6S9tanqjTFft63ye3agn7sTzT7JJ9N6gE4mRmYj1"
"COLLECTOR","7AnojH8Ua97AMc86HbwHkm8envARFWhXES5YX78Xpump","10 Jun, 02:06 pm","10 Jun, 02:34 pm","27m","0.00001749","0.0002667","0.1","0.626884","626.88","Yes","Yes","Trailing Stop (runner)","2hFmrRv2a6oifW17NVuA7BSs18vka2uB4fT7z65Sj6Q2UXC9gWjoWQrgmk7rj6uzzhXKCtN6yB9no4rXdsET5goz"
"Jimmy","A4ST3hBvL8TSjBPveX6AN2HD9TdbzQJgCHz2xoXKpump","10 Jun, 01:40 pm","10 Jun, 01:45 pm","4m","0.00002898","0.00003734","0.1","0.028847","28.85","No","No","Staged SL: -40% from peak (2-10m)","65DXSFUP49tdp6sQv9rZSmieDcUmwYvQdgssYxfmr7DaB1U9jM8z2wsS1jBNCSPR3BnAWnVuDXC1UXEatwyarRJG"
"Gaejuki","N6eU449D2dRmi7q9ZBvtDZLZb8jk9wMjYtmpxKcpump","10 Jun, 01:17 pm","10 Jun, 01:23 pm","6m","0.00004305","0.000001699","0.1","-0.096053","-96.05","No","No","Staged SL: -97% from peak (2-10m)","63gDLHd8EBmQcMV3pcHQyBteammv6quPrj1vdkjV4BCtVWrrwQsDeTEpcWQDWAYVPNfjQ8A4tqWTb4m6UENByZ6b"
"SHABANI","9CYaxA6hzTtZwuHv5QjXZLPLRbtFZvfDBPzW8a1dpump","10 Jun, 12:54 pm","10 Jun, 12:58 pm","3m","0.00002301","0.00002234","0.1","-0.002912","-2.91","No","No","Staged SL: -27% from peak (2-10m)","3RzJFPTXwWEa4EEzYtWy6CTWy5BG27kwkuxQQBM1Q2tsFZYCfBim8xkxyDkrRShaXz8WZNJx2fWud739N3Pupgvw"
"Gaejuki","EWYXDiVDakD1fMnGn3rP3Qr6sMPsLYrUSXeF1NzUpump","10 Jun, 12:23 pm","10 Jun, 12:32 pm","8m","0.00001493","0.000001485","0.1","0.005968","5.97","Yes","No","Staged SL: -97% from TP1 peak","5oveX1hSjtkRmtxx8aswfHLqWwQWGsnMDRrNiPgnPJJvs4wW1VRR2YxmDSeYb1TfX92xhosjj7wLr3ugqdWiG4CR"
"Fartcoin","86XgDfRD6jUst5d5yJshDbpSM4Hh4nBcPPf12H8gpump","10 Jun, 11:26 am","10 Jun, 11:32 am","5m","0.00005071","0.00004849","0.1","-0.004378","-4.38","No","No","Staged SL: -26% from peak (2-10m)","3MuqXDKUoHL39iM6PmN13KuKJKjyeyUWfeouHBEeUXehRcTkYf9y2yg3hVBHiK99dmEsTN1xmLBX12Ats2WNQi5Q"
"Commissions","7PdyhzeLTDPGDxyimXM5frEXfHr88FxTF7UU69A6pump","10 Jun, 11:02 am","10 Jun, 11:03 am","1m","0.00002377","0.00001621","0.1","-0.031805","-31.80","No","No","Staged SL: -32% in first 2m","4jkPRC61jA33kyyn4nb19wwajwgGLjbThzfTRV6BervSgpzUBcBKMPbvabiydxLoPFp7CEVrvo2iJHxseXX3VaUA"
"NIGGERDOM","6UhNym2sRSsoNZFYJEvJ6HUNMceWxmaNs8NYUz8cpump","10 Jun, 10:57 am","10 Jun, 10:59 am","1m","0.00002803","0.00002209","0.1","-0.021192","-21.19","No","No","Staged SL: -21% in first 2m","j7P8co1mAK4pzktYhKixvpkNsdqEQS8FnGMTdUVNURCuiXQfje9qFKqAbQ84oEM8W6JpwARKuVBG9p6GBviM4Hk"
"Foxcoin","3tTcp8qQgBoA9Fxbn6YYi6DVyenpogygmSjjQ5Tipump","10 Jun, 10:11 am","10 Jun, 10:13 am","2m","0.00002531","0.00002326","0.1","-0.008100","-8.10","No","No","Staged SL: -26% from peak (2-10m)","FRMxyyxVqpWtmtT1DMkuZSjxvoMmRAQxoB67chRUcL53ksLN9m4CPWKNgDPM25NhWF5Q8xjfexQbGWJTmL82eFx"
"UAIM","DEnLqzmGAiGdw3vhkyC7p3wkPavv9ikWj6hUFH6Ypump","10 Jun, 10:04 am","10 Jun, 10:23 am","19m","0.00001721","0.00003369","0.1","0.117455","117.45","Yes","No","Staged SL: -52% from TP1 peak","3sUH9nRdRP6MuJhfW4jfwZEFB3fziGEzRDR34KMFdHyCtQC5ECjFocpUjWtsh5q3HKmmeu96ymXjoyhw7tS8LYSt"
"butthole","HhHVhJciFCFt2VrWZmvditGLmpgmau18RHVHw3JEpump","10 Jun, 09:56 am","10 Jun, 09:59 am","3m","0.00002373","0.00003312","0.1","0.039570","39.57","No","No","Staged SL: -28% from peak (2-10m)","44MTCvJrFV6gXPQqrzZ6b6FAeZBpd2pVVvvCVtSv3NTqxLtvWmRABz3Mg4AQ6KLbwxiAZgAs5SLCsnjDKbuS5du3"
"CLAUBBIT","HozuwMhSNNHhtQRpsomjqW6bMGn4Y3M8yw15FqPGpump","10 Jun, 09:44 am","10 Jun, 09:52 am","7m","0.0000216","0.00001655","0.1","-0.023380","-23.38","No","No","Staged SL: -41% from peak (2-10m)","4CQ2MNPqi6J6AsaBmvSdxetMJ6vTdLtgWwdv3rXyApcbjC9v8ndcUqbcXawjxaTYW4bGNw2DsoMnWq7KhqvJcRP1"
"CLAUBBIT","7YQAAb8ANwmiv4C9SXofAujuoAF5qskMyXJ8HH9dpump","10 Jun, 09:20 am","10 Jun, 09:28 am","7m","0.0000253","0.00002763","0.1","0.009209","9.21","No","No","Staged SL: -37% from peak (2-10m)","2C64W3Sv88GPhifGVdyRbCFKigXzoL4EW4boraLB74MHupZMz3LpEDZeeNKHMjfzQAN9rwc3a6cs5EdTv4dKfyBG"
"CERBY","5rEkWxPbgq2LVULyCcsGUUqopH7PxLy7mXmxagzepump","10 Jun, 08:41 am","10 Jun, 08:42 am","1m","0.00003385","0.00001493","0.1","-0.055894","-55.89","No","No","Staged SL: -56% in first 2m","4wSZmBtfYCcKWfZAxqKCRwExXFYcqjfAWUmLX9H8A67jX4Hg9WBZvyhEYF6pMTxaFPhSNZ9h9o2tPkibC7Gqscz6"
"CSI6900","Czizv6ciM5hdWfSVDv2CF7dhzzNf9xBZdYrMGgEcpump","10 Jun, 08:23 am","10 Jun, 08:24 am","1m","0.0000209","0.00001357","0.1","-0.035072","-35.07","No","No","Staged SL: -35% in first 2m","32UeRsvavNNCvKw4EwFTKDN9ouM8rPFrgmsBKakkKbWKH7fGrykjiMtWoQ4N3dqA5v1Ujkbq3HqnxfmBH2CR8nqW"
"CHANCE","JCKwsT8UAbygnFkZ7u3amDUM7BXRtwUhCsHQv2khpump","10 Jun, 07:49 am","10 Jun, 08:10 am","21m","0.00002368","0.0001731","0.1","0.346199","346.20","Yes","Yes","Trailing Stop (runner)","67ktcA2smGBihSoBMrouE1JdeGBku1sQREb7izmiJFq2P9LJQnvnTQ5RCB9GpduQ8twrHCxApfK3t3NKNY6EeFvT"
"FCUP","G7QY6CrjnUAkqfKuhTERHJR2qG6hiK5tEPeAjv5ipump","10 Jun, 07:24 am","10 Jun, 07:25 am","1m","0.00003118","0.00002397","0.1","-0.023124","-23.12","No","No","Staged SL: -23% in first 2m","N6RjZgdCioZaj6aXjLGLsWsKF9UbUtzTm3mcYoPRMJMUiacdQ75rBayLqMDwXK8epLv7VqT67Q2kFHQMgVYfJj8"
"elun","DyFJKGcEJHa8w9BASAHzPzXWDM3uq8UKt3iTHZX4pump","10 Jun, 06:52 am","10 Jun, 08:54 am","2h 1m","0.00005801","0.00005878","0.1","0.001327","1.33","No","No","Dead — No Momentum","xW7yuny43WzB5iaMkA29mbiqZFVLqNuFVmdLvuivRcJSijjSgSAtddLV18DSinbCRuXsLJVCwQVMxgwnpdM6ys8"
